name,slug,domain1,subdomain1,domain2,subdomain2,description,startDate,partnerIds,instructorIds,primaryLanguages,subtitleLanguages,specializations,certificates,courseType,id,s12nIds,stars,ratings_count,num_enrolled,difficulty,length,ins_stars,ins_ratings_count,ins_learners_count,ins_courses_count,content_rating,content_ratings_count
Advanced AI Techniques for the Supply Chain,advanced-ai-techniques-for-the-supply-chain,data-science,machine-learning,data-science,data-analysis,"In this course, we’ll learn about more advanced machine learning methods that are used to tackle problems in the supply chain. We’ll start with an overview of the different ML paradigms (regression/classification) and where the latest models fit into these breakdowns. Then, we’ll dive deeper into some of the specific techniques and use cases such as using neural networks to predict product demand and random forests to classify products. An important part to using these models is understanding their assumptions and required preprocessing steps. We’ll end with a project incorporating advanced techniques with an image classification problem to find faulty products coming out of a machine.",1626638213106,['527'],"['77903726', '77881195']",['en'],[],[],"['VerifiedCert', 'Specialization']",v2.ondemand,4EOwdnX9EeuG_xLe4EWIOw,['PJwF9sGjEeuhxRKihE5spQ'],,,,Intermediate Level,22,,,4120,8,,
Sequence Models for Time Series and Natural Language Processing,sequence-models-tensorflow-gcp,data-science,machine-learning,information-technology,cloud-computing,"This course is an introduction to sequence models and their applications, including an overview of sequence model architectures and how to handle inputs of variable length.

• Predict future values of a time-series
• Classify free form text
• Address time-series and text problems with recurrent neural networks
• Choose between RNNs/LSTMs and simpler models
• Train and reuse word embeddings in text problems

You will get hands-on practice building and optimizing your own text classification and sequence models on a variety of public datasets in the labs we’ll work on together.  

Prerequisites: Basic SQL, familiarity with Python and TensorFlow",1539627433129,['443'],['22997770'],['en'],[],[],"['VerifiedCert', 'Specialization']",v2.ondemand,7sNP37xrEeiL4Q6DgrZ6DA,['GWIdT4bQEeiFWQrjbTVkyg'],4.4,473,14980,Advanced Level,15,4.64,18,1678326,925,77%,1471
Нахождение инвестиционной альфы,seeking-investment-alpha-ru,business,finance,data-science,probability-and-statistics,"В этом курсе-проекте продолжительностью 1 час вы получите следующие навыки: использование беты для определения подверженности актива к систематическому риску и использование альфы для вычисления доходности инвестиции к рыночной доходности.

Примечание. Этот курс изначально создан для учащихся из Северной Америки. На данный момент мы адаптируем его и для других регионов.

Контент данного курса не является инвестиционной рекомендацией.",1615780647988,['565'],['10043473'],['ru'],[],[],['VerifiedCert'],v2.ondemand,XjCpLoBIEeu22Qr64xhNcQ,[],,,,,,,,115541,,,
Bracketology with Google Machine Learning,googlecloud-bracketology-with-google-machine-learning-5ytsd,data-science,machine-learning,data-science,probability-and-statistics,This is a self-paced lab that takes place in the Google Cloud console. In this lab you use Machine Learning (ML) to analyze the public NCAA dataset and predict NCAA tournament brackets.,1648748515893,['443'],['22997770'],['en'],[],[],['VerifiedCert'],v2.ondemand,CJlO86ktEeyjPxJkzIUqCw,[],,,,,,,,,,,
أساسيات تحليل البيانات باستخدام بايثون وباندا,data-analysis-python-pandas-ar,data-science,data-analysis,data-science,probability-and-statistics,"في هذه الدورة التدريبية القائمة على المشروع والتي تستغرق ساعة ونصف تقريباً ستتعلم كيفية تحليل البيانات باستخدام لغة البرمجة بايثون. ستتعرف على مكتبات تحليل البيانات والتعامل مع الأرقام في بايثون، كما ستتعلم كيفية تنظيف البيانات وترتيبها لتهيئتها للتحليل وكيفية الحصول على إجابات للأسئلة المتعلقة بالبيانات التي لديك.

سنقوم باستخدام جوبيتر نوتبوك لكتابة الأكواد وتنفيذها والحصول على رسومات بيانية تمثل البيانات.

لا يوجد متطلبات سابقة للبدء بالمشروع حيث أن هذا المشروع هو للمبتدئين تماما في تحليل البيانات باستخدام بايثون وسيكون هناك شرح مفصل لكل خطوة من الخطوات التي ستقوم بها لإتمامه.",1620672155242,['565'],['45723'],['ar'],[],[],['VerifiedCert'],v2.ondemand,NnsavYayEeuGxgoh2tcx3w,[],,,,,,,,1583,,,
Introduction to virtual networks in Microsoft Azure,introduction-to-virtual-networks-in-microsoft-azure,information-technology,cloud-computing,data-science,data-analysis,"This is an introductory project on creating Virtual Networks in the Azure Portal. 

During each task, you'll be able to follow along and complete each step as I do, giving you a truly hands-on experience.

I will begin by showing you how to get started with Azure by creating an account and signing in. 

From there we will get familiar with navigating the Azure Portal and begin the creation of our Azure virtual network. We will accomplish this by working our way through the various settings that will need to be configured for a successful configuration of our virtual network.  

Once the virtual network is created and operational, we will then create and connect two cloud based virtual machines and test connectivity between them.

If you enjoy this project, we'd recommend exploring the Microsoft Azure Fundamentals AZ-900 Exam Prep Specialization: https://www.coursera.org/specializations/microsoft-azure-fundamentals-az-900",1620690719174,['705'],['84422977'],['en'],[],[],['VerifiedCert'],v2.ondemand,up0P-a17Eeuk6gqY7Q1DAQ,[],,,,,,,,1475,,,
Introduction to EDA in R,introduction-to-eda-in-r,data-science,data-analysis,data-science,probability-and-statistics,"Welcome to this project-based course Introduction to EDA in R. In this project, you will learn how to perform extensive exploratory data analysis on both quantitative and qualitative variables using basic R functions.

By the end of this 2-hour long project, you will understand how to create different basic plots in R. Also, you will learn how to create plots for categorical variables and numeric or quantitative variables. By extension, you will learn how to plot three variables and save your plot as an image in R.

Note, you do not need to be a data scientist to be successful in this guided project, just a familiarity with basic statistics and using R suffice for this project. If you are not familiar with R and want to learn the basics, start with my previous guided projects titled “Getting Started with R” and “Calculating Descriptive Statistics in R”",1604084727478,['565'],['40353561'],['en'],[],[],['VerifiedCert'],v2.ondemand,N-oddxiMEeuyaw5Bb1iaHQ,[],,,,,,,,20863,,,
Object Detection Using Facebook's Detectron2,object-detection-facebook-detectron2,data-science,machine-learning,computer-science,software-development,"In this 2-hour long project-based course, you will learn how to train an Object Detection Model using Facebook's Detectron2. Detectron2 is a research platform and a production library for deep learning, built by Facebook AI Research (FAIR). We will be building an Object Detection Language Identification Model to identify English and Hindi texts written which can be extended to different use cases. We will look at the entire cycle of Model Development and Evaluation in Detectron2. We will first look at how to load a dataset, visualize it and prepare it as an input to the Deep Learning Model. 

We will then look at how we can build a Faster R-CNN model in Detectron2 and customize it. We will then configure the parameters & hyperparameters of the model. We will then move on to training the Model and subsequently to model inference and evaluation.

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",1613516830811,['565'],['9513747'],['en'],[],[],['VerifiedCert'],v2.ondemand,8MLA1GE4EeuEEgo2u-FGnQ,[],,,,,,,,4947,,,
Visualization for Statistical Analysis,visualization-for-statistical-analysis,data-science,data-analysis,social-sciences,economics,"In this project you will learn about several visualization techniques and their importance for Statistical Analysis. The project demonstrates different plotting techniques, for example, histograms, scatter plots, box and whiskers plot, violin plot, bar plot, addition of regression line to scatter plot, and creating matrix of multiple plots. It also discusses the suitability of each plots according to the data type of the variables and illustrates multiple ways to achieve the desired plots efficiently. The project refers to 'Palmer Penguins' data set for the illustrative purpose.",1635367849515,['565'],['30263169'],['en'],[],[],['VerifiedCert'],v2.ondemand,aMTeRCrMEeyxgAr51Gjbpw,[],,,,,,,,9213,,,
R البرمجة باستخدام لغة,r-programming-ar,data-science,data-analysis,data-science,probability-and-statistics,ستتعلم في هذه الدورة كيفية البرمجة بلغة R وكيفية استخدامها لتحليل البيانات بصورة فعالة. ستتعلم كيفية تثبيت البرامج اللازمة لبيئة البرمجة الإحصائية وتكوينها وكيفية وصف مفاهيم لغة البرمجة العامة إذ يتم تطبيقها بلغة إحصائية عالية المستوى. تتناول الدورة المشكلات العملية في الحوسبة الإحصائية التي تشمل البرمجة في لغة R، وقراءة البيانات في لغة البرمجة R، والوصول إلى حزم R، وكتابة دوال R، وتصحيح الأخطاء، وتحديد التعليمات البرمجية R، وتنظيم التعليمات البرمجية R والتعليق عليها. ستعرض الموضوعات في تحليل البيانات الإحصائية أمثلة عملية.,1615925206637,['8'],"['685384', '694443', '688901']",['ar'],"['fr', 'zh-CN', 'pt-BR', 'vi', 'ru', 'en', 'es', 'ja']",[],['VerifiedCert'],v2.ondemand,gFgfWyO6EeuYSw6LSjHEtw,[],,,,Intermediate Level,59,,,1431806,37,,
Introduction to Microsoft Excel,introduction-microsoft-excel,business,business-essentials,data-science,data-analysis,"By the end of this project, you will learn how to create an Excel Spreadsheet by using a free version of Microsoft Office Excel.  

Excel is a spreadsheet that works like a database. It consists of individual cells that can be used to build functions, formulas, tables, and graphs that easily organize and analyze large amounts of information and data. Excel is organized into rows (represented by numbers) and columns (represented by letters) that contain your information. This format allows you to present large amounts of information and data in a concise and easy to follow format. Microsoft Excel is the most widely used software within the business community. Whether it is bankers or accountants or business analysts or marketing professionals or scientists or entrepreneurs, almost all professionals use Excel on a consistent basis. 

You will learn what an Excel Spreadsheet is, why we use it and the most important keyboard shortcuts, functions, and basic formulas.",1631892978531,['565'],['92868426'],['en'],[],[],['VerifiedCert'],v2.ondemand,hZjH8QtZEeyNuxKAzhaylw,[],4.5,207,9398,,,4.72,30,11502,,,
طرق تقييم الشركات | Business Valuation Approaches,business-valuation-approaches,business,finance,data-science,data-analysis,"هل قررت يوماً أن تستثمر أموالك في شراء أسهم شركة؟ هل عُرض عليك أكثر من فرصة للاستثمار، واحترت فى الاختيار بين هذه الفرص؟ هل قررت يوماً أن تبيع شركتك، ولم تكن لديك الخبرة الكافية لتقييمها أو تحديد سعر بيع السهم الذي يحقق لك أعلى عائد؟ هل طلبت منك شركتك كمحاسب أو محلل مالي أن تُقيّم شركةً جديدة تنوي شراءها أو التنبؤ بمكاسبها في المستقبل وخشيتَ من إعطاء تحليلات غير دقيقة؟
سنتناول هنا مواضيع هذه المواقف المحيرة.

هذه الدورة هي دورة تمهيدية؛ فهي تلقي الضوء على أساسيات الموضوع بشكل عام بهدف التعريف به وبمحاوره الأساسية التي يجب الإلمام بها.

إذا كنت من المهتمين بمعرفة طرق تقييم الشركات أو كان مجال عملك يتطلب تلك المعرفة وتوظيفها في سياق عملك، فهذه الدورة ستكون مثالية لإغناء خبرتك وتطوير مهاراتك بشكل فعال ومؤثر.

حيث ستزودك هذه الدورة باطلاع واسع ودقيق على مجموعة من المحاور المتعلقة بهذا الموضوع، مثل: التعرف على مفهوم التحليل المالي، تبيان مفهوم تحليل الأعمال التجارية، إيضاح مفهوم التحليل المحاسبي، شرح كيفية التنبؤ بالمكاسب المستقبلية.",1652265190424,['1027'],['106946985'],['ar'],[],[],['VerifiedCert'],v2.ondemand,kQ464l2SEeyqRw7g84MSoQ,[],,,,Beginner Level,2,,,1042,97,,
Introduction to Text Classification in R with quanteda,text-classification-in-r,data-science,data-analysis,computer-science,software-development,"In this guided project you will learn how to import textual data stored in raw text files into R, turn these files into a corpus (a collection of textual documents), reshape them into paragraphs from documents and tokenize the text all using the R software package quanteda. You will then learn how to classify the texts using the Naive Bayes algorithm. 
This guided project is for beginners interested in quantitative text analysis in R. It assumes no knowledge of textual analysis and focuses on exploring textual data (US Presidential Concession Speeches). Users should have a basic understanding of the statistical programming language R.",1611764753055,['565'],['702332'],['en'],[],[],['VerifiedCert'],v2.ondemand,CfHR4U6yEeuZGAr_TcQGiQ,[],,,,,,,,918,,,
Build an End-to-End Data Capture Pipeline using Document AI,googlecloud-build-an-end-to-end-data-capture-pipeline-using-document-ai-wiisg,computer-science,software-development,data-science,machine-learning,"This is a self-paced lab that takes place in the Google Cloud console. In this lab you use Cloud Functions and Pub/Sub to create an end-to-end document processing pipeline using Document AI. The Document AI API is a document understanding solution that takes unstructured data, such as documents and emails, and makes the data easier to understand, analyze, and consume.

In this lab, you will create a document processing pipeline that will automatically process documents that are uploaded to Cloud Storage. The pipeline consists of a primary Cloud Function that processes new files that are uploaded to Cloud Storage using a Document AI form processor and then saves form data detected in those files to BigQuery. If the form data includes any address fields the address data is then written to a Pub/Sub topic that in turn triggers a second Cloud Function that uses to Geocoding API to provide geographic coordinate data for the address that is also written to BigQuery.

This is a simple pipeline that uses a general form processor that will detect basic form data, such as a labelled field containing address information. Document AI processors that use one of the specialized parsers that are beyond the scope of this lab provide enhanced entity information for specific document types even when those documents do not include labelled fields. For example, a Document AI Invoice parser can provide detailed address and supplier information, from an unlabelled invoice document because it understands the layout of invoices.",1648673268401,['443'],['22997770'],['en'],[],[],['VerifiedCert'],v2.ondemand,SxXuFKkyEeyjPxJkzIUqCw,[],,,,,,,,,,,
Cómo combinar y analizar datos complejos,data-collection-analytics-project-es,data-science,data-analysis,social-sciences,governance-and-society,"En este curso, aprenderás a usar las ponderaciones de las encuestas para estimar estadísticas descriptivas (como medias y totales) y cantidades más complejas (como parámetros de modelos para regresiones lineales y logísticas).  Se explicarán las capacidades de software, haciendo especial hincapié en R®.  El curso también abarcará nociones básicas sobre vinculación de registros y búsqueda de coincidencias estadísticas, dos procesos que son cada vez más importantes para combinar datos de fuentes distintas.  En el curso, también se exploran los problemas éticos que suscrita la combinación de conjuntos de datos.  Es posible que haga falta obtener el consentimiento informado de las personas para que permitan la vinculación de sus datos. Conocerás las diferencias entre los requisitos legales de distintos países.",1646108883157,['32'],['8394050'],['es'],['en'],[],['VerifiedCert'],v2.ondemand,55uZwJFTEeyw3RKLNRxAsw,[],,,,,10,,,13999,5,,
"Crea un app de Machine Learning con Spark, Synapse Analytics",app-machine-learning-spark-synapse-analytics,information-technology,cloud-computing,data-science,data-analysis,"Este proyecto es un curso completo y aplicado para aprender a generar aplicaciones de Machine Learning con Spark MLlib en el entorno de Azure Synapse Analytics.
Realizarás un proyecto práctico, para desarrollar tu propia aplicación de machine learning. Para ello aprenderás todo el proceso de desarrollo, desde el análisis de datos hasta la configuración del modelo y su despliegue.
Azure Synapse Analytics es uno de los entornos más prometedores para el Big Data y en este curso conocerás todo su potencial junto a Spark MLlib.",1610151561749,['565'],['46454754'],['es'],[],[],['VerifiedCert'],v2.ondemand,rocDEVGWEeuV3xJQIImqCQ,[],,,,,,,,15787,,,
Image Denoising Using AutoEncoders in Keras and Python ,autoencoders-image-denoising,data-science,machine-learning,computer-science,software-development,"In this 1-hour long project-based course, you will be able to:
- Understand the theory and intuition behind Autoencoders
- Import Key libraries, dataset and visualize images
- Perform image normalization, pre-processing, and add random noise to images
- Build an Autoencoder using Keras with Tensorflow 2.0 as a backend
- Compile and fit Autoencoder model to training data 
- Assess the performance of trained Autoencoder using various KPIs 

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",1585588162983,['565'],['48777395'],['en'],[],[],['VerifiedCert'],v2.ondemand,arnSxXD2EeqyghJqNT56Rw,[],4.5,264,6651,,,4.5,16,61693,,,
Build an Anomaly Detection Model using PyCaret,build-an-anomaly-detection-model-using-pycaret,data-science,machine-learning,data-science,data-analysis,Build an Anomaly Detection Model using PyCaret,1631474518808,['565'],['312443'],['en'],[],[],['VerifiedCert'],v2.ondemand,xAtyYRGQEey-mQ5gH9dQQQ,[],,,,,,,,364,,,
Fundamentals of Visualization with Tableau,data-visualization-tableau,data-science,data-analysis,business,business-essentials,"In this first course of this specialization, you will discover what data visualization is, and how we can use it to better see and understand data. Using Tableau, we’ll examine the fundamental concepts of data visualization and explore the Tableau interface, identifying and applying the various tools Tableau has to offer. By the end of the course you will be able to prepare and import data into Tableau and explain the relationship between data analytics and data visualization. This course is designed for the learner who has never used Tableau before, or who may need a refresher or want to explore Tableau in more depth. No prior technical or analytical background is required. The course will guide you through the steps necessary to create your first visualization from the beginning based on data context, setting the stage for you to advance to the next course in the Specialization.",1471877968923,['83'],['41114098'],['en'],"['ar', 'fr', 'pt-PT', 'it', 'vi', 'de', 'ru', 'es']",[],"['VerifiedCert', 'Specialization']",v2.ondemand,VuRXs3EiEeWrAxJQXw-8PQ,['th2vYplFEeWIgw6ardKJWw'],4.5,5535,157744,Beginner Level,11,4.65,926,157744,1,92%,14859
Data Analysis Tools,data-analysis-tools,data-science,data-analysis,,,"In this course, you will develop and test hypotheses about your data. You will learn a variety of statistical tests, as well as strategies to know how to apply the appropriate one to your specific data and question. Using your choice of two powerful statistical software packages (SAS or Python), you will explore ANOVA, Chi-Square, and Pearson correlation analysis. This course will guide you through basic statistical principles to give you the tools to answer questions you have developed. Throughout the course, you will share your progress with others to gain valuable feedback and provide insight to other learners about their work.",1445363926225,['34'],"['3182044', '1121232']",['en'],[],[],"['VerifiedCert', 'Specialization']",v2.ondemand,ENhHCTboEeW8ZAoCexam_w,['IffJY0dUEeW97BIjcKITiw'],4.5,403,43321,,10,4.83,13,86283,4,93%,1412
Diabetic Retinopathy Detection with Artificial Intelligence,retinopathy-detection-using-deep-learning,data-science,data-analysis,computer-science,software-development,"In this project, we will train deep neural network model based on Convolutional Neural Networks (CNNs) and Residual Blocks to detect the type of Diabetic Retinopathy from images. Diabetic Retinopathy is the leading cause of blindness in the working-age population of the developed world and estimated to affect over 347 million people worldwide. Diabetic Retinopathy is disease that results from complication of type 1 & 2 diabetes and can develop if blood sugar levels are left uncontrolled for a prolonged period of time. With the power of Artificial Intelligence and Deep Learning, doctors will be able to detect blindness before it occurs.",1607355087032,['565'],['48777395'],['en'],[],[],['VerifiedCert'],v2.ondemand,FCaOOASDEeuzYhLFIVK5hw,[],4.6,29,,,,,,61693,,,
Image Classification with CNNs using Keras,image-classification-cnn-keras,data-science,machine-learning,,,"In this 1-hour long project-based course, you will learn how to create a Convolutional Neural Network (CNN) in Keras with a TensorFlow backend, and you will learn to train CNNs to solve Image Classification problems. In this project, we will create and train a CNN model on a subset of the popular CIFAR-10 dataset.

This course runs on Coursera's hands-on project platform called Rhyme. On Rhyme, you do projects in a hands-on manner in your browser. You will get instant access to pre-configured cloud desktops containing all of the software and data you need for the project. Everything is already set up directly in your Internet browser so you can just focus on learning. For this project, you’ll get instant access to a cloud desktop with (e.g. Python, Jupyter, and Tensorflow) pre-installed.

Prerequisites:
In order to be successful in this project, you should be familiar with python and convolutional neural networks. 

Notes:
-  You will be able to access the cloud desktop 5 times. However, you will be able to access instructions videos as many times as you want.
- This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.",1581705082335,['565'],['7545245'],['en'],[],[],['VerifiedCert'],v2.ondemand,dKmtok6HEeqK1A6jODXf4w,[],4.4,542,12184,,,4.41,39,197853,,,
